Intro: Text
General_1: Move
Units_all: Move
Units_Knight: Unit
Units_LightCavalry: Unit
Units_Ballista: Unit
Units_Catapult: Unit
Units_Archer: Unit
Units_Pikeman: Unit
Moves_1: Move
Moves_2: Move
Moves_3: Move
Moves_4: Move
Attacks_1: Move
Attacks_2: Action
Attacks_3: Action
Attacks_4: Action
Attacks_5: Action
Specials_1: Move
Units_Berserker: Unit
Units_Cannon: Unit
Units_CrossbowArcher: Unit
Units_Crusader: Unit
Units_Diplomat: Unit
Units_Dragoon: Unit
Units_FlagBearer: Unit
Units_Halberdier: Unit
Units_Hobelar: Unit
Units_Hussar: Unit
Units_Lancer: Unit
Units_Longbowman: Unit
Units_Longswordsman: Unit
Units_RoyalGuard: Unit
Units_Saboteur: Unit
Units_Samurai: Unit
Units_Scout: Unit
Units_Viking: Unit
Units_WarElephant: Unit
Units_Weaponsmith: Unit
